Subregion,Subregion_norm,NE_name,NE_name_norm,score,country,top_candidates
Adrar,adrar,Adrar,adrar,100,Algeria,"[{""candidate_NE_name"": ""Adrar"", ""candidate_NE_name_norm"": ""adrar"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Adrar"", ""candidate_NE_name_norm"": ""adrar"", ""score"": 100, ""country"": ""Mauritania""}, {""candidate_NE_name"": ""Harare"", ""candidate_NE_name_norm"": ""harare"", ""score"": 73, ""country"": ""Zimbabwe""}, {""candidate_NE_name"": ""Haut-Sassandra"", ""candidate_NE_name_norm"": ""haut-sassandra"", ""score"": 72, ""country"": ""Ivory Coast""}, {""candidate_NE_name"": ""Bas-Sassandra"", ""candidate_NE_name_norm"": ""bas-sassandra"", ""score"": 72, ""country"": ""Ivory Coast""}]"
Ain-Defla,ain-defla,Aïn Defla,ain defla,89,Algeria,"[{""candidate_NE_name"": ""Aïn Defla"", ""candidate_NE_name_norm"": ""ain defla"", ""score"": 89, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Delta"", ""candidate_NE_name_norm"": ""delta"", ""score"": 72, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Lac"", ""candidate_NE_name_norm"": ""lac"", ""score"": 72, ""country"": ""Chad""}, {""candidate_NE_name"": ""Flacq"", ""candidate_NE_name_norm"": ""flacq"", ""score"": 68, ""country"": ""Mauritius""}, {""candidate_NE_name"": ""Djelfa"", ""candidate_NE_name_norm"": ""djelfa"", ""score"": 65, ""country"": ""Algeria""}]"
Ain-Temouchent,ain-temouchent,Aïn Témouchent,ain temouchent,93,Algeria,"[{""candidate_NE_name"": ""Aïn Témouchent"", ""candidate_NE_name_norm"": ""ain temouchent"", ""score"": 93, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Kémo"", ""candidate_NE_name_norm"": ""kemo"", ""score"": 68, ""country"": ""Central African Republic""}, {""candidate_NE_name"": ""Centre"", ""candidate_NE_name_norm"": ""centre"", ""score"": 65, ""country"": ""Cameroon""}, {""candidate_NE_name"": ""Centre"", ""candidate_NE_name_norm"": ""centre"", ""score"": 65, ""country"": ""Togo""}, {""candidate_NE_name"": ""Zou"", ""candidate_NE_name_norm"": ""zou"", ""score"": 60, ""country"": ""Benin""}]"
Alger,alger,Alger,alger,100,Algeria,"[{""candidate_NE_name"": ""Alger"", ""candidate_NE_name_norm"": ""alger"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Fromager"", ""candidate_NE_name_norm"": ""fromager"", ""score"": 80, ""country"": ""Ivory Coast""}, {""candidate_NE_name"": ""Kagera"", ""candidate_NE_name_norm"": ""kagera"", ""score"": 73, ""country"": ""United Republic of Tanzania""}, {""candidate_NE_name"": ""Sal"", ""candidate_NE_name_norm"": ""sal"", ""score"": 72, ""country"": ""Cape Verde""}, {""candidate_NE_name"": ""Tanger - Tétouan"", ""candidate_NE_name_norm"": ""tanger - tetouan"", ""score"": 72, ""country"": ""Morocco""}]"
Annaba,annaba,Annaba,annaba,100,Algeria,"[{""candidate_NE_name"": ""Annaba"", ""candidate_NE_name_norm"": ""annaba"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Abia"", ""candidate_NE_name_norm"": ""abia"", ""score"": 77, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Anambra"", ""candidate_NE_name_norm"": ""anambra"", ""score"": 77, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Bam"", ""candidate_NE_name_norm"": ""bam"", ""score"": 72, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Bay"", ""candidate_NE_name_norm"": ""bay"", ""score"": 72, ""country"": ""Somalia""}]"
Batna,batna,Batna,batna,100,Algeria,"[{""candidate_NE_name"": ""Batna"", ""candidate_NE_name_norm"": ""batna"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Banwa"", ""candidate_NE_name_norm"": ""banwa"", ""score"": 80, ""country"": ""Burkina Faso""}, {""candidate_NE_name"": ""Banaadir"", ""candidate_NE_name_norm"": ""banaadir"", ""score"": 80, ""country"": ""Somalia""}, {""candidate_NE_name"": ""Batha"", ""candidate_NE_name_norm"": ""batha"", ""score"": 80, ""country"": ""Chad""}, {""candidate_NE_name"": ""Bafatá"", ""candidate_NE_name_norm"": ""bafata"", ""score"": 73, ""country"": ""Guinea Bissau""}]"
Bechar,bechar,Béchar,bechar,100,Algeria,"[{""candidate_NE_name"": ""Béchar"", ""candidate_NE_name_norm"": ""bechar"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Bié"", ""candidate_NE_name_norm"": ""bie"", ""score"": 72, ""country"": ""Angola""}, {""candidate_NE_name"": ""Chari-Baguirmi"", ""candidate_NE_name_norm"": ""chari-baguirmi"", ""score"": 72, ""country"": ""Chad""}, {""candidate_NE_name"": ""Hodh ech Chargui"", ""candidate_NE_name_norm"": ""hodh ech chargui"", ""score"": 68, ""country"": ""Mauritania""}, {""candidate_NE_name"": ""Moyen-Chari"", ""candidate_NE_name_norm"": ""moyen-chari"", ""score"": 65, ""country"": ""Chad""}]"
Bejaia,bejaia,Béjaïa,bejaia,100,Algeria,"[{""candidate_NE_name"": ""Béjaïa"", ""candidate_NE_name_norm"": ""bejaia"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Béja"", ""candidate_NE_name_norm"": ""beja"", ""score"": 90, ""country"": ""Tunisia""}, {""candidate_NE_name"": ""Abia"", ""candidate_NE_name_norm"": ""abia"", ""score"": 77, ""country"": ""Nigeria""}, {""candidate_NE_name"": ""Bié"", ""candidate_NE_name_norm"": ""bie"", ""score"": 72, ""country"": ""Angola""}, {""candidate_NE_name"": ""Ribeira Brava"", ""candidate_NE_name_norm"": ""ribeira brava"", ""score"": 62, ""country"": ""Cape Verde""}]"
Biskra,biskra,Biskra,biskra,100,Algeria,"[{""candidate_NE_name"": ""Biskra"", ""candidate_NE_name_norm"": ""biskra"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Kara"", ""candidate_NE_name_norm"": ""kara"", ""score"": 77, ""country"": ""Togo""}, {""candidate_NE_name"": ""Bié"", ""candidate_NE_name_norm"": ""bie"", ""score"": 72, ""country"": ""Angola""}, {""candidate_NE_name"": ""Bouira"", ""candidate_NE_name_norm"": ""bouira"", ""score"": 67, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Bissau"", ""candidate_NE_name_norm"": ""bissau"", ""score"": 67, ""country"": ""Guinea Bissau""}]"
Blida,blida,Blida,blida,100,Algeria,"[{""candidate_NE_name"": ""Blida"", ""candidate_NE_name_norm"": ""blida"", ""score"": 100, ""country"": ""Algeria""}, {""candidate_NE_name"": ""Doukkala - Abda"", ""candidate_NE_name_norm"": ""doukkala - abda"", ""score"": 68, ""country"": ""Morocco""}, {""candidate_NE_name"": ""Blantyre"", ""candidate_NE_name_norm"": ""blantyre"", ""score"": 68, ""country"": ""Malawi""}, {""candidate_NE_name"": ""Cabinda"", ""candidate_NE_name_norm"": ""cabinda"", ""score"": 67, ""country"": ""Angola""}, {""candidate_NE_name"": ""Abia"", ""candidate_NE_name_norm"": ""abia"", ""score"": 67, ""country"": ""Nigeria""}]"
